geoid,lat,long
48061010822,26.19898461,-97.69934326
48061253078,26.2101701,-97.65232289
12021005281,26.2145786,-81.81030582
12021010320,26.21326006,-81.77078597
12021010418,26.1930971,-81.70291304
12021010426,26.21176135,-81.61392933
12011035290,26.21012101,-80.28750609
12011035584,26.21278374,-80.23345752
12011039935,26.21125778,-80.16164651
12011036562,26.20664899,-80.10648793
48215024176,26.28193901,-98.43137756
48215024119,26.28720339,-98.35157584
48215023152,26.27069528,-98.27876478
48215022848,26.27538465,-98.21833657
48215023755,26.28545468,-98.14777675
48215023525,26.29456118,-98.07795762
48215024429,26.26981247,-97.98994366
12021010125,26.28821763,-81.81463517
12021010473,26.27393661,-81.75770928
12021010823,26.2751617,-81.69296695
12021011211,26.28846071,-81.55790146
12011017083,26.28019172,-80.28789976
12011017983,26.27299372,-80.24425094
12011018491,26.27998434,-80.16655913
12011017140,26.28586609,-80.10019022
48427950329,26.36254013,-98.79374657
48215024123,26.33817173,-98.36173208
48215024131,26.33548023,-98.28901067
48215023680,26.32852765,-98.2062156
48215023681,26.34601609,-98.1490293
48215023524,26.35133403,-98.06557445
48215024453,26.32813645,-97.98514506
12071052028,26.36598464,-81.82702708
12071050457,26.34104051,-81.77361951
12071050324,26.32483091,-81.67670096
12073865673,26.34439603,-80.23086894
12089230112,26.35399989,-80.16428235
12093831137,26.35235915,-80.09623755
48427950535,26.40976243,-99.00295243
48427950155,26.4239283,-98.93580577
12071080204,26.44879898,-82.10963269
12071060102,26.45547089,-81.94434971
12071060202,26.41759169,-81.89548017
12071050211,26.44119286,-81.82768017
12071047741,26.43450882,-81.78032188
12021011279,26.42499483,-81.447505
12099007749,26.39958238,-80.21956527
12099006519,26.43258233,-80.15679016
12099006907,26.4303981,-80.09070491
12071001914,26.50554831,-81.96248935
12071001841,26.50980861,-81.90871167
12071043307,26.49428968,-81.83057851
12099006075,26.50450629,-80.1481838
12099006342,26.50047153,-80.08511022
12099005807,26.51648331,-80.05521983
12071010419,26.57159517,-82.03055899
12071010544,26.57219706,-81.97162712
12071003078,26.57004803,-81.89845824
12071013203,26.57970037,-81.83782355
12071040129,26.58447873,-81.75918218
12071040303,26.59314476,-81.67887214
12071040292,26.57231221,-81.61879635
12099006144,26.5774755,-80.16008445
12099005582,26.57017469,-80.08993529
12099005426,26.58666388,-80.04944335
12071070102,26.65433839,-82.13031076
12071010212,26.64876608,-82.03292497
12071010286,26.64018277,-81.97851732
