,index,geoid,lat,long
142,78,48215024207.0,26.22555628273196,-98.42092825489688
143,9445,48061012305.0,26.23440848168621,-97.18412136867421
144,9442,48215024210.0,26.239714932800048,-98.47178119959997
145,9452,48061010101.0,26.259189629517568,-97.56369139028867
146,9455,12021011208.0,26.259990000000013,-81.24681999999999
147,9448,48215024206.0,26.261726286598712,-98.5364164399556
148,9454,12021010423.0,26.26389,-81.64387000000005
149,103,48215024429.0,26.27005,-97.98952000000001
150,99,48215023152.0,26.27294,-98.28
151,109,12011017983.0,26.273110000000003,-80.24423000000003
152,105,12021010473.0,26.27393293201876,-81.75826465517895
153,106,12021010823.0,26.275269999999995,-81.69296694999997
154,100,48215022848.0,26.27544318619931,-98.21832751082624
155,9447,48427950404.0,26.27855031906895,-98.64871963407457
156,108,12011017083.0,26.28028000000001,-80.28789975999997
157,97,48215024176.0,26.280980000000007,-98.43174000000002
158,110,12011018491.0,26.281070000000003,-80.16630999999998
159,101,48215023755.0,26.285296808092674,-98.14692519849964
160,111,12011017140.0,26.286120000000004,-80.10044
161,98,48215024119.0,26.286300000000008,-98.35144000000008
162,107,12021011211.0,26.288779987057147,-81.55790592541337
163,9450,48061010301.0,26.28880510433581,-97.80764629908015
164,104,12021010125.0,26.2901,-81.81460999999993
165,9451,48061010201.0,26.29016906166948,-97.67941944990902
166,9453,48061010102.0,26.290717580795377,-97.41241028333286
167,102,48215023525.0,26.29471076258748,-98.07877667587489
168,9449,48215024600.0,26.313511590413224,-97.91071978665485
169,9446,48427950403.0,26.315023612877155,-98.72005915589604
170,121,12071050324.0,26.32508,-81.67670095999993
171,118,48215024453.0,26.328131064023893,-97.9851157602897
172,115,48215023680.0,26.328602817620173,-98.20660056559718
173,113,48215024123.0,26.338006539266495,-98.36078472109426
174,120,12071050457.0,26.341042661744996,-81.77352483322147
175,114,48215024131.0,26.341725695296425,-98.28812421686112
176,122,12073865673.0,26.34419018630151,-80.23093282252705
177,116,48215023681.0,26.34601518594241,-98.14898771334909
178,117,48215023524.0,26.350819387295253,-98.0626546403688
179,124,12093831137.0,26.352363505397054,-80.09607080051411
180,123,12089230112.0,26.354737005877958,-80.16432301846217
181,9458,48489950600.0,26.35743508846493,-97.69623800864845
182,112,48427950329.0,26.3601,-98.79371000000003
183,119,12071052028.0,26.364470000000004,-81.82527000000006
184,9459,12021011211.0,26.36617278584212,-81.57362978246233
185,9456,48427950601.0,26.38254058890781,-98.84807548241758
186,9457,48215024212.0,26.388560114301217,-98.46103997966877
187,9461,48427950402.0,26.394478483292083,-98.5881179060734
188,133,12099007749.0,26.39959639514297,-80.21916583842608
189,9462,48215024121.0,26.39975,-98.34797999999996
190,9469,12071050312.0,26.4032785216438,-81.67458819561647
191,9465,48215023530.0,26.405293834114005,-98.09810294277327
192,9464,48215023517.0,26.40713,-98.20335000000003
193,9470,12021011205.0,26.407686520000027,-81.40102999999996
194,125,48427950535.0,26.408220000000007,-99.00208000000005
195,9467,48489950500.0,26.408239999999992,-97.72780741999996
196,9463,48215024120.0,26.412149699762196,-98.28553673858113
197,129,12071060202.0,26.41754,-81.89696
198,9466,48215024302.0,26.422693409662564,-97.98439274480245
199,126,48427950155.0,26.422799401780846,-98.93201141765206
200,132,12021011279.0,26.42498318639732,-81.44781937727393
201,135,12099006907.0,26.430357799461103,-80.0902515289368
202,9481,12099980400.0,26.43088543672744,-80.41477747952713
203,134,12099006519.0,26.433100000000003,-80.15762999999998
204,131,12071047741.0,26.434579975519377,-81.78057600685464
205,9471,12051000601.0,26.435698960350347,-81.0431621058111
206,9468,12071080202.0,26.43825,-82.05426999999997
207,9480,12021011400.0,26.43878000000001,-81.35267999999996
208,130,12071050211.0,26.441910309620155,-81.82769451899237
209,9479,12021011306.0,26.447160690063328,-81.50154787577723
210,127,12071080204.0,26.4490185308603,-82.11339641903312
211,9460,48427950104.0,26.45661,-98.89385
212,128,12071060102.0,26.45708,-81.94424
213,9472,48427950108.0,26.476192800504,-98.78125217513258
214,9474,48489950400.0,26.484779052966346,-97.73640609159699
215,9473,48489950300.0,26.48638367002097,-97.8138498772182
216,138,12071043307.0,26.494270002199585,-81.83197563383379
217,9475,48489950700.0,26.497536437723813,-97.6309849820965
218,9478,12071040138.0,26.49934479018023,-81.67687252955069
219,140,12099006342.0,26.500763330661087,-80.08512399599687
220,139,12099006075.0,26.504506290000048,-80.14804000000005
221,9476,12071070201.0,26.50456278639873,-82.08225250882374
222,136,12071001914.0,26.505170000000007,-81.96214
223,137,12071001841.0,26.510418536178364,-81.90837898299358
224,141,12099005807.0,26.516620000000003,-80.05432000000003
225,9477,12071980000.0,26.52743497308107,-81.75434482951354
